"number","title","type","city","author","closedAtUtc","closedAtLocal","week","stateReason","statusLabels","outcomeKey","outcome","url"
"3495","Resources: Update work of nanjing","Update","nanjing","Aleee814","2026/5/2 3:11:03","2026-05-02 03:11:03","2026-04-27","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/3495"
"3499","Resources: New work of dubai","New","dubai","Mythhaven","2026/5/2 3:50:59","2026-05-02 03:50:59","2026-04-27","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3499"
"3480","Resources: New work of dubai","New","dubai","ritti7891","2026/5/2 3:51:25","2026-05-02 03:51:25","2026-04-27","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3480"
"3492","Resources: New work of dubai","New","dubai","Mythhaven","2026/5/2 3:52:00","2026-05-02 03:52:00","2026-04-27","NOT_PLANNED","resources;better version exists","better_version","已有更优版本","https://github.com/railmapgen/rmp-gallery/issues/3492"
"2509","Resources: Update work of chongqing","Update","chongqing","LYXOfficial","2026/5/20 13:18:13","2026-05-20 13:18:13","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/2509"
"2855","Resources: Update work of chongqing","Update","chongqing","a701651","2026/5/20 13:29:09","2026-05-20 13:29:09","2026-05-18","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/2855"
"2871","Resources: Update work of chongqing","Update","chongqing","Zongyu1007","2026/5/22 12:16:20","2026-05-22 12:16:20","2026-05-18","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/2871"
"2971","Resources: Update work of chongqing","Update","chongqing","hzljasper","2026/5/22 12:28:15","2026-05-22 12:28:15","2026-05-18","NOT_PLANNED","invalid content;resources","invalid_content","内容无效","https://github.com/railmapgen/rmp-gallery/issues/2971"
"3538","Resources: New work of zhenjiang","New","zhenjiang","Fancyking870","2026/5/22 12:32:55","2026-05-22 12:32:55","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3538"
"3536","Resources: Update work of hangzhou","Update","hangzhou","QSY8515","2026/5/22 12:43:49","2026-05-22 12:43:49","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3536"
"3518","Resources: Update work of hangzhou","Update","hangzhou","zzzairport","2026/5/22 12:46:06","2026-05-22 12:46:06","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3518"
"3446","Resources: Update work of wuhan","Update","wuhan","ykn2013","2026/5/22 12:59:22","2026-05-22 12:59:22","2026-05-18","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/3446"
"3540","Resources: Update work of chongqing","Update","chongqing","michaelye2020-debug","2026/5/22 13:02:33","2026-05-22 13:02:33","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3540"
"3502","Resources: Update work of wuhan","Update","wuhan","zcqnine","2026/5/22 14:08:30","2026-05-22 14:08:30","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3502"
"3525","Resources: Update work of taipei","Update","taipei","ritti7891","2026/5/23 6:22:26","2026-05-23 06:22:26","2026-05-18","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/3525"
"3547","Resources: New work of delhi","New","delhi","Mythhaven","2026/5/23 6:23:05","2026-05-23 06:23:05","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3547"
"3515","Resources: New work of Chicago","New","Chicago","dingusdono","2026/5/23 6:33:52","2026-05-23 06:33:52","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3515"
"3512","Resources: New work of dubai","New","dubai","ritti7891","2026/5/23 6:38:38","2026-05-23 06:38:38","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3512"
"3484","Resources: New work of vienna","New","vienna","dingusdono","2026/5/23 6:52:14","2026-05-23 06:52:14","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3484"
"3501","Resources: Update work of guiyang","Update","guiyang","CRH2A-2369","2026/5/23 8:18:42","2026-05-23 08:18:42","2026-05-18","NOT_PLANNED","need fixing","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3501"
"3477","Resources: Update work of kaohsiung","Update","kaohsiung","ritti7891","2026/5/23 13:23:58","2026-05-23 13:23:58","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3477"
"3472","Resources: Update work of singapore","Update","singapore","aurehark","2026/5/23 13:37:06","2026-05-23 13:37:06","2026-05-18","NOT_PLANNED","resources;invalid format","invalid_format","格式无效","https://github.com/railmapgen/rmp-gallery/issues/3472"
"3465","Resources: New work of madrid","New","madrid","Mythhaven","2026/5/23 13:46:24","2026-05-23 13:46:24","2026-05-18","NOT_PLANNED","resources;better version exists","better_version","已有更优版本","https://github.com/railmapgen/rmp-gallery/issues/3465"
"3467","Resources: New work of madrid","New","madrid","Mythhaven","2026/5/23 13:47:54","2026-05-23 13:47:54","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3467"
"3445","Resources: New work of Mexico City","New","Mexico City","dingusdono","2026/5/23 14:06:57","2026-05-23 14:06:57","2026-05-18","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/3445"
"3454","Resources: New work of Barcelona","New","Barcelona","dingusdono","2026/5/24 6:07:46","2026-05-24 06:07:46","2026-05-18","NOT_PLANNED","need fixing;resources","need_fixing","需要修正","https://github.com/railmapgen/rmp-gallery/issues/3454"
"3435","Resources: Update work of fuzhou","Update","fuzhou","Jijinarvlulingmamibeibeihong9178","2026/5/24 6:31:00","2026-05-24 06:31:00","2026-05-18","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/3435"
"3433","Resources: Update work of pyongyang","Update","pyongyang","Iron-carrot","2026/5/24 6:38:31","2026-05-24 06:38:31","2026-05-18","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/3433"
"3268","Resources: Update work of xian","Update","xian","SHENJIE15","2026/5/24 6:53:54","2026-05-24 06:53:54","2026-05-18","NOT_PLANNED","resources;better version exists","better_version","已有更优版本","https://github.com/railmapgen/rmp-gallery/issues/3268"
"3421","Resources: Update work of hohhot","Update","hohhot","Iron-carrot","2026/5/24 6:54:24","2026-05-24 06:54:24","2026-05-18","COMPLETED","resources;ready for merge","accepted","通过/已合入","https://github.com/railmapgen/rmp-gallery/issues/3421"
