"number","title","type","city","author","closedAtUtc","closedAtLocal","week","merged","outcome","url"
"3496","Resources: Update work of nanjing","Update","nanjing","rmt-svc","2026/5/2 3:11:02","2026-05-02 03:11:02","2026-04-27","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3496"
"3500","Resources: New work of dubai","New","dubai","rmt-svc","2026/5/2 3:51:06","2026-05-02 03:51:06","2026-04-27","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3500"
"3481","Resources: New work of dubai","New","dubai","rmt-svc","2026/5/2 3:51:31","2026-05-02 03:51:31","2026-04-27","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3481"
"3493","Resources: New work of dubai","New","dubai","rmt-svc","2026/5/2 3:52:04","2026-05-02 03:52:04","2026-04-27","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3493"
"2510","Resources: Update work of chongqing","Update","chongqing","rmt-svc","2026/5/20 13:25:58","2026-05-20 13:25:58","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/2510"
"2856","Resources: Update work of chongqing","Update","chongqing","rmt-svc","2026/5/20 13:29:08","2026-05-20 13:29:08","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/2856"
"2872","Resources: Update work of chongqing","Update","chongqing","rmt-svc","2026/5/20 13:38:53","2026-05-20 13:38:53","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/2872"
"3542","Resources: Update work of chongqing","Update","chongqing","rmt-svc","2026/5/22 12:16:18","2026-05-22 12:16:18","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3542"
"3541","Resources: Update work of chongqing","Update","chongqing","rmt-svc","2026/5/22 12:29:18","2026-05-22 12:29:18","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3541"
"3539","Resources: New work of zhenjiang","New","zhenjiang","rmt-svc","2026/5/22 12:31:20","2026-05-22 12:31:20","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3539"
"3519","Resources: Update work of hangzhou","Update","hangzhou","rmt-svc","2026/5/22 12:42:31","2026-05-22 12:42:31","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3519"
"3537","Resources: Update work of hangzhou","Update","hangzhou","rmt-svc","2026/5/22 12:43:18","2026-05-22 12:43:18","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3537"
"3447","Resources: Update work of wuhan","Update","wuhan","rmt-svc","2026/5/22 12:55:42","2026-05-22 12:55:42","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3447"
"3550","Resources: Update work of wuhan","Update","wuhan","rmt-svc","2026/5/22 12:59:21","2026-05-22 12:59:21","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3550"
"3503","Resources: Update work of wuhan","Update","wuhan","rmt-svc","2026/5/22 12:59:38","2026-05-22 12:59:38","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3503"
"3549","Resources: Update work of chongqing","Update","chongqing","rmt-svc","2026/5/22 13:02:46","2026-05-22 13:02:46","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3549"
"3551","Resources: Update work of wuhan","Update","wuhan","rmt-svc","2026/5/22 14:08:42","2026-05-22 14:08:42","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3551"
"3509","Resources: Update work of wuhan","Update","wuhan","rmt-svc","2026/5/22 14:09:02","2026-05-22 14:09:02","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3509"
"3526","Resources: Update work of taipei","Update","taipei","rmt-svc","2026/5/23 4:48:26","2026-05-23 04:48:26","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3526"
"3560","Resources: Update work of taipei","Update","taipei","rmt-svc","2026/5/23 6:22:25","2026-05-23 06:22:25","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3560"
"3548","Resources: New work of delhi","New","delhi","rmt-svc","2026/5/23 6:23:11","2026-05-23 06:23:11","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3548"
"3516","Resources: New work of Chicago","New","Chicago","rmt-svc","2026/5/23 6:34:02","2026-05-23 06:34:02","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3516"
"3513","Resources: New work of dubai","New","dubai","rmt-svc","2026/5/23 6:38:49","2026-05-23 06:38:49","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3513"
"3485","Resources: New work of vienna","New","vienna","rmt-svc","2026/5/23 6:52:20","2026-05-23 06:52:20","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3485"
"3478","Resources: Update work of kaohsiung","Update","kaohsiung","rmt-svc","2026/5/23 13:24:02","2026-05-23 13:24:02","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3478"
"3466","Resources: New work of madrid","New","madrid","rmt-svc","2026/5/23 13:46:51","2026-05-23 13:46:51","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3466"
"3468","Resources: New work of madrid","New","madrid","rmt-svc","2026/5/23 13:47:35","2026-05-23 13:47:35","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3468"
"3564","Resources: New work of Mexico City","New","Mexico City","rmt-svc","2026/5/23 14:06:56","2026-05-23 14:06:56","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3564"
"3563","Resources: New work of Barcelona","New","Barcelona","rmt-svc","2026/5/24 6:07:03","2026-05-24 06:07:03","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3563"
"3436","Resources: Update work of fuzhou","Update","fuzhou","rmt-svc","2026/5/24 6:24:26","2026-05-24 06:24:26","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3436"
"3568","Resources: Update work of fuzhou","Update","fuzhou","rmt-svc","2026/5/24 6:30:59","2026-05-24 06:30:59","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3568"
"3434","Resources: Update work of pyongyang","Update","pyongyang","rmt-svc","2026/5/24 6:31:17","2026-05-24 06:31:17","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3434"
"3569","Resources: Update work of pyongyang","Update","pyongyang","rmt-svc","2026/5/24 6:38:30","2026-05-24 06:38:30","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3569"
"3422","Resources: Update work of hohhot","Update","hohhot","rmt-svc","2026/5/24 6:41:08","2026-05-24 06:41:08","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3422"
"3269","Resources: Update work of xian","Update","xian","rmt-svc","2026/5/24 6:53:46","2026-05-24 06:53:46","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3269"
"3570","Resources: Update work of hohhot","Update","hohhot","rmt-svc","2026/5/24 6:54:24","2026-05-24 06:54:24","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3570"
"3374","Resources: Update work of xian","Update","xian","rmt-svc","2026/5/24 6:54:34","2026-05-24 06:54:34","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3374"
"3439","Resources: Update work of xian","Update","xian","rmt-svc","2026/5/24 6:57:32","2026-05-24 06:57:32","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3439"
"3571","Resources: Update work of xian","Update","xian","rmt-svc","2026/5/24 7:11:58","2026-05-24 07:11:58","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3571"
"3404","Resources: New work of lisbon","New","lisbon","rmt-svc","2026/5/24 7:24:25","2026-05-24 07:24:25","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3404"
"3456","Resources: New work of lisbon","New","lisbon","rmt-svc","2026/5/24 7:29:51","2026-05-24 07:29:51","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3456"
"3333","Resources: Update work of jinan","Update","jinan","rmt-svc","2026/5/24 7:50:46","2026-05-24 07:50:46","2026-05-18","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3333"
"3335","Resources: Update work of jinan","Update","jinan","rmt-svc","2026/5/24 7:59:05","2026-05-24 07:59:05","2026-05-18","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3335"
